observed_item_name,canonical_key,owned_quantity,derived_craft_quantity,mastery_confirmation_status,evidence_source,evidence_date,review_status,notes
Purple Shirt,purple shirt,10,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Purple Twine,purple twine,31811,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Red Brick,red brick,32038,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Red Diary,red diary,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Red Parchment,red parchment,8670,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Red Shirt,red shirt,577,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Red Trunk,red trunk,29189,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Redbrook Patch,redbrook patch,2,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Refined Esperium,refined esperium,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Refined Plum Ore,refined plum ore,54,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Reforged Sword,reforged sword,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Reinforced Helmet,reinforced helmet,13611,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Salt,salt,30119,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Scissors,scissors,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Sewing Needle,sewing needle,31146,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Shining Earrings,shining earrings,2,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Ship in a Bottle,ship in a bottle,630,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Snow Shoes,snow shoes,13697,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Spiky Bracelet,spiky bracelet,30465,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Spoon,spoon,32161,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Stained Glass Art,stained glass art,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Steel Buckle,steel buckle,10313,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Steel Vise,steel vise,18924,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Strong Wire,strong wire,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Sunflower Oil,sunflower oil,6073,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Sunstone Ring,sunstone ring,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Tie Dye Scarf,tie dye scarf,30686,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
White Cloak,white cloak,278,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
White Dye,white dye,0,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
White Purse,white purse,8993,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
White Scarf,white scarf,25123,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
White Shirt,white shirt,26,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
White Twine,white twine,24995,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wizard Hat,wizard hat,28468,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wood Planer,wood planer,2697,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wooden Bow,wooden bow,30003,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wooden Button,wooden button,32163,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wooden Footstool,wooden footstool,1989,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wooden Spear,wooden spear,32160,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wooden Sword,wooden sword,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Wrench,wrench,7444,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Yarn,yarn,32180,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
Yellow Shirt,yellow shirt,32064,0,confirmed_masterable,user-supplied Workshop paste,2026-08-31,recipe_normalized_pending_reconciliation,Listed as craftable in the supplied non-exhaustive Workshop paste; user confirmed every listed output is masterable.
