item_name,difficulty,method,notes,tags,passive_craftworks_info,farmrpg_item_id,buddy_item_id,buddy_slug,source_sheet,source_row
Red Diary,4,Crafting,"Slap two pieces of paper together with some mashed mushies and bang, you got a book!",,,,,,King Mastery Sheet,195
Red Shield,4,Crafting,Great for silver!,,,,,,King Mastery Sheet,198
Spoon,4,Crafting,"A bit costly to explore for all the Bone you will need, but if you use passive Twine, the Small Cave holds all of the resources needed.",,,,,,King Mastery Sheet,253
White Purse,4,Crafting,Swamp,,,,,,Missing from mastery_difficulty,
Yellow Shirt,5,,,,,,,,Missing from mastery_difficulty,
Orange Scarf,4,,,,,,,,Missing from mastery_difficulty,
Red Scarf,4,,,,,,,,Missing from mastery_difficulty,
White Dye,4,,,,,,,,Missing from mastery_difficulty,
Black Dye,5,,,,,,,,Missing from mastery_difficulty,
Fancy Pan Flute,5,Crafting,Pretty reasonable mid to late game mastery. Doesn't need crazy resources. Benefits a lot from upgrading sawmill and hayfield.,,,,,,King Mastery Sheet,76
Feed,5,Feed Mill,"The biggest drawback is just waiting for it to process. Dump whatever extra crops you might be voiding in, or daily Broccoli from pets is great too. There is a perk to make the mill process twice as fast, if you want to go for MM it's a good investment, otherwise don't bother.",,,,,,King Mastery Sheet,79
Flour,5,Flour Mill,"Each wheat makes 14 flour, so you don't need a crazy amount of wheat to GM this. There's a perk that makes the flour mill process twice as fast. Probably don't buy it unless you're rich or want to MM flour.",,,,,,King Mastery Sheet,85
Gold Cucumber,5,"Farming, Locksmith","Grown from Gold Cucumber Seeds, if you have them, or a rare chance from Cucumber Seeds. Also you can get these from Grab Bag 01 which is from fishing at the Forest Pond. This is the easiest gold crop because of this.",,,,,,King Mastery Sheet,101
Hourglass,5,Crafting,"Another paste mastery, but it's actually not that bad with Sand from Jundland Desert. I personally would explore Forest for the Mushroom Paste and Wood needed.",,,,,,King Mastery Sheet,122
Metal Spool,5,Crafting,"Easy JD mastery. Ideally you want to turn these into Spool of Copper, but copper is way harder to get than other JD mats.",,,,,,King Mastery Sheet,153
Orange Twine,5,Crafting,Swamp,,,,,,Missing from mastery_difficulty,
Purple Bag,5,Crafting,"Medium speed mastery, good for silver. Can make even more if you explore forest for the leather and wait for passive Twine/Rope to come in.",,,,,,King Mastery Sheet,186
Purple Dye,5,Crafting,"Needs lots of Purple Flower, but it's easy enough. Use it to make Purple Bag and Belt Drive.",,,,,,King Mastery Sheet,189
Purple Twine,5,Crafting,Throw some Purple Dye on twine and call it a day.,,,,,,King Mastery Sheet,191
Sturdy Bow,5,Crafting,"Great use for Oak from grinding WC, but it needs Mushroom Paste, Twine, AND Steel, which are all individual sticking points when doing a lot of exploring and crafting. Good for crafting xp and selling for silver as well.",,,,,,King Mastery Sheet,263
White Scarf,5,,,,,,,,Missing from mastery_difficulty,
Black Scarf,6,,,,,,,,Missing from mastery_difficulty,
Black Shield,6,,,,,,,,Missing from mastery_difficulty,
Concord Grape Pie,6,Cooking,"Long cook time, which means you get mastery progress quickly from actions. Also good for cooking xp.",,,,,,King Mastery Sheet,52
Corn,6,"Farming, Locksmith","You will naturally master this just trying to do quests. There are plenty of uses for corn, between cooking, rfc, and Corn Oil, so if you want to knock it out as a GM, you can fish in Pirate's Cove and open the Large Chest 03 to help out.",,,,,,King Mastery Sheet,55
Fancy Drum,6,Crafting,"Uses both Leather and Mushroom Paste, which are side products of exploring in the Forest, but sadly uses Yarn too, which you cant make at the same time because you'll need the straw for rope to make nets. I suggest working on this either from trading for the paste/leather, or off an on when not actively exploring forest for nets.",,,,,,King Mastery Sheet,74
Fancy Guitar,6,Crafting,"Fairly cheap, but slow if you wait for passive Steel Wire from steelworks. If you actively explore for it, you can get it done way quicker, but the cost increases a lot.",,,,,,King Mastery Sheet,75
Red Berry Pie,6,Cooking,"Long cook time, which means tasting is really effective. The Red Berries cost is pretty high, so make sure you're working on other WC masteries when you explore so you're not voiding.",,,,,,King Mastery Sheet,194
Red Twine,6,Crafting,"Medium level craft. Good way to use up Red Dye from WC after finishing Red Shield, without the heavy Steel cost of Red Trunk.",,,,,,King Mastery Sheet,201
Sunflower,6,Farming,"With Mega Sunflower Seeds and Grape Juice this goes pretty quick, you'll just need to wait for your Onion pet to bring enough seeds. Don't forget to use a Mushroom Stew for great mastery prgress each harvest.",,,,,,King Mastery Sheet,268
White Twine,6,Crafting,Swamp,,,,,,Missing from mastery_difficulty,
Wrench,6,Crafting,Steel and Emberstone are used in lots of crafts now. Luckily this one there are no other components. It's pretty realistic to GM these in a few days if you're actively working on them.,,,,,,King Mastery Sheet,293
Apple Cider,7,"Crafting, Quests","Fairly easy to master, but GM will take some time. You also get a good amount from quests and some from pets over time. If you care about GM, use Mushroom Stew when claiming large amounts from quests.",,,,,,King Mastery Sheet,5
Arnold Palmer,7,"Crafting, Quests","You will always want to turn your lemonade into AP, but this will probably take a long time to GM. If you care about GM on this, make sure you're using Mushroom Stew for quests that reward more than a few hundred.",,,,,,King Mastery Sheet,7
Belt Drive,7,Crafting,"You will definitely want to be working on these when exploring Jundland Desert. If possible, use them to make Engine, but those can be quite costly so in my opinion it's fine to sell extras if you can't.",,,,,,King Mastery Sheet,12
Black Twine,7,Crafting,Swamp,,,,,,Missing from mastery_difficulty,
Breakfast Boost,7,Cooking,"This has a shorter cook time, so you won't get as much mastery progress from tasting as longer meals, but it is very cheap to make, so if you're actively working on this mastery it can go rather quickly.",,,,,,King Mastery Sheet,31
Leek,7,Farming,"The slowest growing mailable crop. Because of that it's easy to avoid growing these and just buy. They have a decent grow length where you can plant them, do a few things, and come back and reset. Also useful for cooking.",,,,,,King Mastery Sheet,143
Onion,7,Farming,"You will need a lot of these for cooking, but it still takes a while to GM them.",,,,,,King Mastery Sheet,164
Salt,7,"Crafting, Locksmith","Slower mastery to start, but you'll need a bunch for quests and cooking. At some point you may start voiding it if you're using Large Chest 03 to get Corn.",,,,,,King Mastery Sheet,229
Sugar Cane,7,,,,,,,,Missing from mastery_difficulty,
Tomato,7,Farming,See note for leeks.,,,,,,King Mastery Sheet,271
Watermelon,7,Farming,"Watermelon is the fastest non-tradable crop. If you buckle down and work on GM it will still take a while, but you can stock up on some Piece of Heart in the process. If you're going to void, Feed Mill or Temple are good places to send your extras.",,,,,,King Mastery Sheet,279
Black Shirt,7,,,,,,,,Missing from mastery_difficulty,
Broccoli,8,Farming,"Long enough that you don't want to be growing it all day, but not quite long enough to justify using Grape Juice on it regularly in my opinion, unless you need it for quests. Also brought by 3 pets, which is nice.",,,,,,King Mastery Sheet,32
Brown Sugar,9,,,,,,,,Missing from mastery_difficulty,
Cabbage,8,Farming,"See the notes on Broccoli above, but this time it's brought by 4 pets instead. Not that that helps much for mastery. You need more than 40k for quests, which gets a good chunk of the GM out of the way.",,,,,,King Mastery Sheet,38
Gazebo,8,,,,,,,,Missing from mastery_difficulty,
Glowing Lantern,8,,,,,,,,Missing from mastery_difficulty,
Hops,8,Farming,"It grows pretty quick after you unlock the first Tower artifact, but there's not much to do with it after you've grown it. You can send it to Beatrix, George, or Vincent for some friendship xp.",,,,,,King Mastery Sheet,119
Kill Switch,8,Crafting,"The cheapest Engine component, if that counts for anything. Easy enough you shouldn't worry too much about crafting these up and selling if you just want to focus GM and not spend your entire life savings and time making engines.",,,,,,King Mastery Sheet,132
Machine Press,8,Crafting,One of the friendlier JD crafts. You'll need lots for all the Corn Oil needed for other masteries.,,,,,,King Mastery Sheet,148
Oak Table,8,,,,,,,,Missing from mastery_difficulty,
Pine Tree,8,Farming,"Slow enough crop that you shouldn't feel bad about using Grape Juice on them. In the past they've been needed a lot for the December event (Crafting Christmas Tree and Holiday Wreath ) and the winter 'season' (Small chance of Frozen Pine when harvesting), so if that time of year is coming up, hold off on GM for then.",,,,,,King Mastery Sheet,177
Radish,8,Farming,"Fast enough that using Grape Juice or cookies doesn't make sense, but slow enough that GM will take a few weeks probably.",,,,,,King Mastery Sheet,193
Rice,8,Farming,"Only viable way to work on this is daily Grape Juice. Make sure you have Mushroom Stew active, and maybe even some cookies. Sell extras to avoid voiding, or you can use a bit in cooking ( Shrimp-a-Plenty ).",,,,,,King Mastery Sheet,203
Rucksack,8,,,,,,,,Missing from mastery_difficulty,
Silk,8,,,,,,,,Missing from mastery_difficulty,
Steel Plate,8,Crafting,"Needs Emberstone and Small Bolt, neither of which is really fun to get. But more reaosnable number than some other things. Plenty of items to craft these up into while working on GM.",,,,,,King Mastery Sheet,257
Wizard Hat,8,Crafting,"Requires just enough Purple Flower and Leather to be annoying. It's really not a hard mastery, just inconvenient.",,,,,,King Mastery Sheet,283
Unrefined Sugar,9,,,,,,,,Missing from mastery_difficulty,
Barnacle Shell,9,pet,,,,,,,Missing from mastery_difficulty,
Block of Wood,9,Crafting,Pine Tree...,,,,,,King Mastery Sheet,14
Bone Broth,9,"Cooking, Borgen Shop","Bone Broth is technically the hardest ""Meal"" to master/GM because you get almost no mastery progress from tasting. It's also the easiest, because it has been offered at Borgen's a few times, but you are always limited on how much you can buy based on inventory cap. It is not sellable, so you have to use it to cook other recipes to make space.",,,,,,King Mastery Sheet,27
Butter,9,Crafting,"Relies on daily Milk production, which is limited by inventory and cow levels. Can go quicker if you trade for milk, but will probably still take a very long time.",,,,,,King Mastery Sheet,36
Cannon,9,Crafting,War is expensive.,,,,,,King Mastery Sheet,40
Canoe,9,Crafting,"The amount of Oak needed for these is insane. They also need a good amount of Mushroom Paste which can get annoying fast. Most people that have GMed these just did it because they were bored, genuinely. Plus side is, you'll get loads of Raptor Egg while working on it.",,,,,,King Mastery Sheet,41
Cat's Meow,9,Cooking,"Lower-cook time meal, which means tasting gives less mastery, but relatively cheap. Gm will take a long time.",,,,,,King Mastery Sheet,45
Cooking Pot,9,Crafting,"Requires a ton of Emberstone. Going for mastery on this is reasonable, but GM is just a flex goal at this point, in my opinion.",,,,,,King Mastery Sheet,54
Corn Oil,9,Crafting,"The main drawback on with this is the high Corn cost. Mastery is expensive, but you can get it done in a reasonable time. GM is out of the question in my opinion.",,,,,,King Mastery Sheet,57
Cotton,9,Farming,"Cotton has a long enough growth time that it's no fun at all to grow. Luckily you don't really need it a ton, and 2 pets bring it. You'll probably master it while working on quests, but GM will be a long journey.",,,,,,King Mastery Sheet,58
Crab Claw,9,"Fishing, Pets","You will probably get regular mastery for this naturally while working on quests and other GMs, but GM will require a lot of resources and/or time. Macaw brings these.",,,,,,King Mastery Sheet,60
Crown of Clover,9,,,,,,,,Missing from mastery_difficulty,
Crystal Pickaxe,9,Mining,TBD,,,,,,King Mastery Sheet,298
Energy Coil,9,Crafting,"A lot goes into this craft, but the main limiting factor is probably going to be Transistor as you go. Mastery will take a while, GM will take forever.",,,,,,King Mastery Sheet,69
Fancy Chair,9,Crafting,"The hardest part of this is the Cotton. At 6 per chair you will need a significant amount. I would recommend using daily grape juice for the cotton, along with any crop multiplying meals on Mega Cotton Seeds.",,,,,,King Mastery Sheet,73
Fancy Table,9,Crafting,"Requires both Corn Oil and Steel Vise, as well as tons of Oak. The only upside is the sell price.",,,,,,King Mastery Sheet,78
Ghost Jelly,9,,,,,,,,Missing from mastery_difficulty,
Gold Catfish,9,,,,,,,,Missing from mastery_difficulty,
Gold Coral,9,,,,,,,,Missing from mastery_difficulty,
Gold Drum,9,,,,,,,,Missing from mastery_difficulty,
Gold Flier,9,,,,,,,,Missing from mastery_difficulty,
Gold Jelly,9,,,,,,,,Missing from mastery_difficulty,
Gold Sea Bass,9,,,,,,,,Missing from mastery_difficulty,
Gold Sea Crest,9,,,,,,,,Missing from mastery_difficulty,
Gold Slimeback,9,,,,,,,,Missing from mastery_difficulty,
Gold Trout,9,,,,,,,,Missing from mastery_difficulty,
Goldfin,9,,,,,,,,Missing from mastery_difficulty,
Goldgill,9,,,,,,,,Missing from mastery_difficulty,
Goldjack,9,,,,,,,,Missing from mastery_difficulty,
Goldray,9,,,,,,,,Missing from mastery_difficulty,
Green Cloak,9,"Crafting, Locksmith","Annoying to GM, because it takes Cotton to craft. But with all of the Grape Juice perks and the T150 artifact you can grow quite a bit in a day and get some solid progress. You can also get them via Mystical Chest 02 from fishing in Pirate's Cove.",,,,,,King Mastery Sheet,108
Iced Tea,9,Crafting,"Pretty slow mastery/GM. You really shouldn't need a lot of tea in your daily play, so selling is probably okay. Make sure you're working on other CPR masteries like Lemon Quartz Ring and something with Glass Orb so you're not wasting resources.",,,,,,King Mastery Sheet,124
Molasses,9,,,,,,,,Missing from mastery_difficulty,
Neigh,9,Cooking,"GM will take a long time, but this is one of the cheaper meals to make. It's mostly crops that can be grown instantly with Breakfast Boost.",,,,,,King Mastery Sheet,162
Pear Grease,9,Crafting,"Like most JD crafts, this will take a while. It's not very complex, it just needs lots of exploring in Jundland for all the Prickly Pear.",,,,,,King Mastery Sheet,171
Pie Pan,9,Crafting,"Requires Moonstone, which will take a while. Over 60k are needed for quests, which is a lot of mastery.",,,,,,King Mastery Sheet,176
Potato Battery,9,Crafting,"The biggest hold up is exploring JD for Copper Wire to make Spool of Copper. You can grow the potatoes or fish for them (via Grab Bag 01 ) in the Forest Pond. You'll need 30k of these for the COI questline, so plan accordingly.",,,,,,King Mastery Sheet,182
Propeller Hat,9,,Swamp,,,,,,Missing from mastery_difficulty,
Pumpkin,9,Farming,"Honestly this rating is partially just based on the fact that you don't really ever need a large amount of pumpkins for anything. They have a long enough grow time that Grape Juice makes sense to grow them, but it would only be for mastery. Most other crops are needed more for quests or crafting, or season events.",,,,,,King Mastery Sheet,185
Red Brick,9,,,,,,,,Missing from mastery_difficulty,
Red Trunk,9,Crafting,"Uses a good bit of resources, but still fairly easy if you wait for passive Steel. Sells for okay silver, but in general Red Shield is better profit for mostly the same materials.",,,,,,King Mastery Sheet,200
Re'taw Pail,9,,,,,,,,Missing from mastery_difficulty,
Sea Pincher Special,9,Cooking,"Longer cook time, so you will get more mastery per taste. The biggest draw back is the Honey needed to cook it.",,,,,,King Mastery Sheet,235
Sea Urchin,9,,,,,,,,Missing from mastery_difficulty,
Seaweed,9,Fishing,"Very slow, but easier than the likes of Sea Dragon or Crab Claw.",,,,,,King Mastery Sheet,237
Snow Shoes,9,,,,,,,,Missing from mastery_difficulty,
Tie Dye Scarf,9,,,,,,,,Missing from mastery_difficulty,
Wheat,9,Farming,There isn't much point to growing a lot of wheat other than Flour and a few quests. If you've already done longer crops it makes sense to use some Grape Juice on it.,,,,,,King Mastery Sheet,280
Mayonnaise,9,,,,,,,,Missing from mastery_difficulty,
Acorn Butter,10,Crafting,"Good way to use up Acorn, but it needs so many that GM will take a long long time. Always make sure you're tossing them here instead of voiding though.",,,,,,King Mastery Sheet,2
Amber Cane,10,Crafting,"Requires Amber, which is a Super Rare, and costly to explore for. You get it from your Lemur at level 6, but not enough to go for GM, or even mastery really.",,,,,,King Mastery Sheet,3
Blue Butterfly,10,,,,,,,,Missing from mastery_difficulty,
Bouquet of Flowers,10,Crafting,"So far, the seeds for flowers are quite limited. Even using all cookies it requires many seeds to get mastery, and a crazy amount for GM.",,,,,,King Mastery Sheet,30
Cabbage Stew,10,Cooking,"Very high resource cost (it's mostly Cabbage, which take forever to grow).",,,,,,King Mastery Sheet,39
Compass,10,Crafting,"The only way to craft more Compass is to toss them into the Wishing Well, then recraft with the Magna Core you get back. It's very expensive, as each costs 4x Small Screw and your free tosses into the well are limited.",,,,,,King Mastery Sheet,50
Control Box,10,Crafting,"If you don't have a stockpile of Small Screw, this is the single most stam-intensive craft currently in the game. It's quite costly, but you should definitely be crafting these up into Engine as you go.",,,,,,King Mastery Sheet,53
Corn Husk Doll,10,Crafting,"Requires multiple Corn and Red Twine, so very slow mastery. Quite a few are needed for quests, so you will need to make some, but GM/MM are not super attainable.",,,,,,King Mastery Sheet,56
Engine,10,Crafting,"The amount of stamina and mental drain to craft these will drive you mad. Many different components, with many different zones necessary. The biggest cost is all of the Small Screw and Small Spring you will end up needing.",,,,,,King Mastery Sheet,70
Flying Machine,10,Crafting,"One of the most expensive crafts in the game, even moreso than Engine.",,,,,,King Mastery Sheet,87
Flywheel,10,Crafting,"Small Screw are quite limited and/or costly, so GM will be a long road. Mastery is still hard, but doable with time. Steelworks also occassionally produces these.",,,,,,King Mastery Sheet,88
Frost Shield,10,Crafting,"Requires Frost Snapper Shell, which is an SR from Glacier Lake, or the Spotted Seal pet. Not practical to work on GM, or even mastery really.",,,,,,King Mastery Sheet,89
Fruit Punch,10,Crafting,"Mastery and GM are both very expensive, and very not necessary. FP has little use, so working on this is purely to flex.",,,,,,King Mastery Sheet,91
Gold Carrot,10,Farming,"Mastery will take a bit, but isn't that bad with Breakfast Boost and gold seeds from quests. GM will be pretty rough unless you have cookies to boost harvest amount.",,,,,,King Mastery Sheet,100
Gold Eggplant,10,Farming,"Mastery will take a bit, but isn't that bad with Breakfast Boost and gold seeds from quests. GM will be pretty rough unless you have cookies to boost harvest amount.",,,,,,King Mastery Sheet,102
Gold Peas,10,Farming,"Mastery will take a bit, but isn't that bad with Breakfast Boost and gold seeds from quests. GM will be pretty rough unless you have cookies to boost harvest amount.",,,,,,King Mastery Sheet,103
Gold Peppers,10,Farming,"Mastery will take a bit, but isn't that bad with Breakfast Boost and gold seeds from quests. GM will be pretty rough unless you have cookies to boost harvest amount.",,,,,,King Mastery Sheet,104
Grand Piano,10,,,,,,,,Missing from mastery_difficulty,
Grape Juice,10,"Crafting, Locksmith","Takes a lot of grapes, but it's semi-farmable via Medium Chest 01 from Highland Hills.",,,,,,King Mastery Sheet,105
Green Butterfly,10,,,,,,,,Missing from mastery_difficulty,
Hickory Omelette,10,Cooking,"GM of this is definitely possible, it will just take some time and a LOT of trips to the forest for Bird Egg.",,,,,,King Mastery Sheet,118
Inferno Sphere,10,"Crafting, Pets","Definitely try to craft these with mastery bonuses on, Mushroom Stew and and event bonus if possible. Also do your best to sell these during events, especially with IOTD bonus an Shrimp-a-Plenty. Production is almost entirely trhough pets, so will be very slow.",,,,,,King Mastery Sheet,125
Lava Sphere,10,"Crafting, Pets","Definitely try to craft these with mastery bonuses on, Mushroom Stew and and event bonus if possible. Also do your best to sell these during events, especially with IOTD bonus an Shrimp-a-Plenty. Production is almost entirely trhough pets, so will be very slow.",,,,,,King Mastery Sheet,137
Mushroom Stew,10,Cooking,"A slower cooking meal, which means you get more mastery. The drawback is that it requires lots of resources, but you will definitely want to cook or trade for a bunch of this as it helps with other masteries. If you're going to work towards GM, I'd reccommend waiting until you have the T120 perk, which reduces the amount of ingredients useed in cooking.",,,,,,King Mastery Sheet,158
Onion Soup,10,Cooking,"Quick cooking meal, which means little mastery from tasting. Also requires a very large amount of Onion, so even regular mastery will take a long time, GM will take forever.",,,,,,King Mastery Sheet,165
Over the Moon,10,Cooking,"Cheaper than some meals (no Cooking Pot ), but the short cook time means less mastery per meal.",,,,,,King Mastery Sheet,168
Pair of Boots,10,Crafting,"Requires 2 Polished Boot to craft, each of qhich requires a Corn Oil, so these are very very expensive to make. Best to sacrifice them at the Temple.",,,,,,King Mastery Sheet,169
Peach Juice,10,Crafting,"Given the limited nature of peaches, GM for this isn't very viable at this time.",,,,,,King Mastery Sheet,170
Polished Boot,10,Crafting,Requires Corn Oil which is already very costly to make. Make sure you're crafting these up into Pair of Boots.,,,,,,King Mastery Sheet,180
Power Monitor,10,Crafting,Ths craft would be pretty easy if not for Pocket Watch.,,,,,,King Mastery Sheet,183
Purple Butterfly,10,,,,,,,,Missing from mastery_difficulty,
Quandary Chowder,10,Cooking,"Resource-wise, one of the more expensive cooking GMs. The cook time is not long enough to get a lot of tasting mastery, and it requires both Corn and Corn Oil to cook.",,,,,,King Mastery Sheet,192
Red Butterfly,10,,,,,,,,Missing from mastery_difficulty,
Runestone 04,10,Exploring,"Small Cave, Green Dragon, Blue Dragon",,,,,,King Mastery Sheet,212
Runestone 05,10,Exploring,"Misty Forest, Green Dragon, Tree Frog, Tarantula",,,,,,King Mastery Sheet,213
Runestone 07,10,Farming,"Radishes, , Green Dragon, Hedgehog",,,,,,King Mastery Sheet,215
Runestone 09,10,Exploring,"Black Rock Canyon, Green Dragon, Blue Dragon",,,,,,King Mastery Sheet,217
Runestone 13,10,Exploring,"Black Rock Canyon, Red Dragon, Blue Dragon",,,,,,King Mastery Sheet,221
Runestone 17,10,Exploring,"Ember Lagoon, Red Dragon, Red Fox",,,,,,King Mastery Sheet,225
Runestone 19,10,Exploring,"Mount Banon. Tree Frog, Blue Dragon",,,,,,King Mastery Sheet,227
Sea Dragon,10,Fishing,Very very hard GM. You several hundred thousand LN to GM this.,,,,,,King Mastery Sheet,234
Ship in a Bottle,10,Crafting,A super cool craft! But also very impractical to GM. Just think of this as a nice place to toss some Model Ship if you explore in the Small Cave a lot.,,,,,,King Mastery Sheet,243
Shrimp-a-Plenty,10,Cooking,"Another long cooking GM. It needs a good bit of Rice per meal, and you don't get a ton of mastery per taste.",,,,,,King Mastery Sheet,246
Spiked Shell,10,Fishing,Currently the hardest fishing mastery. You will need many thousands of LN to even master these from fishing.,,,,,,King Mastery Sheet,250
Spool of Copper,10,Crafting,"Copper Wire is the biggest hold up for most JD crafts. With existing quests you will get a lot of progress on this mastery, but it will be slow and expensive.",,,,,,King Mastery Sheet,252
Steel Vise,10,Crafting,"Pretty cheap (but still slow) if you can generate enough Steel passively. You'll need a bunch of these for quests, and you need them to make Fancy Table, which is also needed for quests. I definitely recommend upgrading your steelworks.",,,,,,King Mastery Sheet,258
Step Ladder,10,Crafting,"Requires a good bit of Small Bolt, which ends up being a sticking point if you're trying to work on other JD-ish masteries, like Steel Vise or Engine. But overall not super expensive.",,,,,,King Mastery Sheet,260
Sturdy Pickaxe,10,Mining,"TBD, depends on stone shell",,,,,,King Mastery Sheet,299
Sunflower Oil,10,Crafting,"With Mega Sunflower Seeds and Grape Juice and even some cookies maybe, you can get the Sunflower in a reasonable time. It's still quite a bit though.",,,,,,King Mastery Sheet,269
Veggie Juice,10,,,,,,,,Missing from mastery_difficulty,
Water Lily,10,Fishing,Side product of fishing in Forest Pond for friendship or Grab Bag 01.,,,,,,King Mastery Sheet,278
White Sugar,10,,,,,,,,Missing from mastery_difficulty,
Wine,10,Crafting,So many Grapes. So so so many Grapes.,,,,,,King Mastery Sheet,282
Magus Hat,10,,,,,,,,Missing from mastery_difficulty,
Spiky Bracelet,10,,,,,,,,Missing from mastery_difficulty,
Aquacite,11,Mining,,,,,,,King Mastery Sheet,300
Flarite,11,Mining,,,,,,,King Mastery Sheet,302
Pyrite,11,Mining,,,,,,,King Mastery Sheet,303
Runestone 01,11,Farming,"Carrots, Green Dragon, Blue Dragon",,,,,,King Mastery Sheet,209
Runestone 02,11,Fishing,"Farm Pond, Green Dragon, Blue Dragon",,,,,,King Mastery Sheet,210
Runestone 03,11,Fishing,"Forest Pond, Green Dragon, Baboon",,,,,,King Mastery Sheet,211
Runestone 06,11,Farming,"Cucumbers, Green Dragon, Blue Dragon, Seal",,,,,,King Mastery Sheet,214
Runestone 08,11,Fishing,"Small Pond, Green Dragon, Blue Dragon",,,,,,King Mastery Sheet,216
Runestone 10,11,Farming,"Leeks, Green Dragon, Tarantula",,,,,,King Mastery Sheet,218
Runestone 11,11,Farming,"Corn, Green Dragon, Owl",,,,,,King Mastery Sheet,219
Runestone 12,11,Fishing,"Crystal River, Green Dragon, Red Fox",,,,,,King Mastery Sheet,220
Runestone 14,11,Exploring,"Highland Hills, Red Dragon, Blue Dragon",,,,,,King Mastery Sheet,222
Runestone 15,11,Fishing,"Lake Tempast, Green Python, Tarantula",,,,,,King Mastery Sheet,223
Runestone 16,11,Farming,"Hops, Red Dragon, Blue Dragon",,,,,,King Mastery Sheet,224
Runestone 18,11,Fishing,"Vast Ocean, Red Dragon, Blue Dragon",,,,,,King Mastery Sheet,226
Runestone 20,11,Farming,"Eggplants, Red Squirrel, Tarantula",,,,,,King Mastery Sheet,228
Runestone 27,11,Mining,,,,,,,Missing from mastery_difficulty,
Seashell Necklace,11,Crafting,"Requires Spiked shell, craft with caution",,,,,,Missing from mastery_difficulty,
Steel Pickaxe,11,Mining,,,,,,,King Mastery Sheet,301
Sugar Cube,11,,,,,,,,Missing from mastery_difficulty,
11th Leaf Centerpiece,99,,event,event,,,,,Missing from mastery_difficulty,
Acorn Pie,99,,,,,,,,Missing from mastery_difficulty,
Ant Apple,99,,,,,,,,Missing from mastery_difficulty,
Apple Ant,99,,,,,,,,Missing from mastery_difficulty,
Candy Corn,99,,,event,,,,,Missing from mastery_difficulty,
Christmas Tree,99,,,event,,,,,Missing from mastery_difficulty,
Cicada,99,,,event,,,,,Missing from mastery_difficulty,
Cicada Shell,99,,,event,,,,,Missing from mastery_difficulty,
Crunchy Omelette,99,,,event,,,,,Missing from mastery_difficulty,
Festive Eggnog,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Angelfish,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Biter,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Bones,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Book,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Boot,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Cabbage,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Catfish,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Coin,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Corn,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Crab Claw,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Dagger,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Feather,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Hops,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Jelly,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Lobster,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Manta Ray,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Peas,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Pine,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Radish,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Sheepshead,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Shell,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Skull,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Spyfish,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Squid,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Starfish,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Tomato,99,,,event,,,,,Missing from mastery_difficulty,
Frozen Wheel,99,,,event,,,,,Missing from mastery_difficulty,
Glass Eyes,99,,,,,,,,Missing from mastery_difficulty,
Green Top Hat,99,,,event,,,,,Missing from mastery_difficulty,
Heart Necklace,99,,,event,,,,,Missing from mastery_difficulty,
Holiday Wreath,99,,,event,,,,,Missing from mastery_difficulty,
Inferno Pepper,99,,,event,,,,,Missing from mastery_difficulty,
Jack-o-lantern,99,,,event,,,,,Missing from mastery_difficulty,
King Apple,99,,,event,,,,,Missing from mastery_difficulty,
Lobster,99,Not yet possible,,,,,,,Missing from mastery_difficulty,
Milk Carton,99,,,event,,,,,Missing from mastery_difficulty,
Pink Jelly,99,,,,,,,,Missing from mastery_difficulty,
Pumpkin Spiced Milk,99,,,event,,,,,Missing from mastery_difficulty,
QED Cell,99,,,event,,,,,Missing from mastery_difficulty,
Red Diamond Fish,99,,,event,,,,,Missing from mastery_difficulty,
Sea Turtle,99,,,,,,,,Missing from mastery_difficulty,
Shamrock Milk,99,Crafting,Requires white sugar,,,,,,Missing from mastery_difficulty,
Snow Globe,99,,,event,,,,,Missing from mastery_difficulty,
Snowman,99,,,,,,,,Missing from mastery_difficulty,
Spooky Scarecrow,99,,,,,,,,Missing from mastery_difficulty,
Toilet Paper,99,,,,,,,,Missing from mastery_difficulty,
